latitude_futuro,longitude_futuro,confidence_futuro
-15.604366,-54.930676,72.13557
-20.372675,-47.382698,68.15059
-7.473559,-48.22249,67.33796
-4.425321,-50.12126,65.39358
-9.214503,-46.876907,66.650536
-10.464713,-46.341717,71.58974
-9.285971,-59.398743,65.55565
-14.267401,-51.671192,69.77479
-19.591825,-46.148365,65.1633
-13.520885,-46.48169,70.50911
-7.1313066,-37.813026,71.51759
-1.5835484,-52.998943,64.31741
-13.057234,-45.029278,67.07979
-12.355882,-53.45609,64.2175
-12.930475,-52.25045,56.671707
-9.58103,-56.63305,65.761696
-12.804941,-55.14714,65.09284
-2.2733967,-48.70571,62.116184
-10.775339,-50.261463,75.99887
-1.4897044,-53.430485,67.2685
-16.534966,-52.22551,65.20162
-11.0643,-46.993526,64.309586
-22.76553,-45.741467,59.56156
-9.826946,-63.63884,66.475365
-13.118233,-54.666298,64.57051
-4.248568,-40.49298,67.734
-16.75236,-56.502514,66.225044
-6.9923606,-54.80193,66.54391
-11.518064,-49.376827,64.837395
-11.158202,-60.4174,63.882286
-10.315356,-49.589695,64.44444
-6.0076046,-40.178783,67.70058
-6.7793894,-44.343124,67.218636
-7.426639,-61.259068,69.57649
-28.217222,-51.147438,61.119537
-9.833847,-53.431137,74.74942
-0.60190344,-49.583836,60.508347
-9.194063,-71.621895,66.316315
-7.8667355,-63.242954,68.83501
-9.166601,-58.806396,66.768425
-15.138372,-50.061382,71.49222
-7.6799664,-44.675323,63.693977
-10.862918,-48.293934,63.202
-17.844118,-48.399956,72.362526
-9.616049,-53.466377,69.22081
-5.7871165,-42.76367,63.148506
-3.7313833,-63.067455,65.35723
-10.503855,-55.415432,66.31376
-8.329059,-43.840874,66.94776
-9.073973,-60.325882,66.72403
-13.39881,-46.306118,77.87945
-6.906305,-59.334938,65.4674
-9.638035,-46.684807,66.35324
-20.999117,-56.911446,67.0452
-6.4259048,-44.056915,63.26327
-3.3388996,-44.88163,71.59065
-20.876574,-46.789246,65.97199
-6.692011,-53.43427,68.66137
-10.308353,-63.917053,65.195465
-25.755112,-50.82352,62.91404
-18.9872,-46.097195,69.99359
-18.481579,-48.29963,72.127426
-20.28566,-57.415665,69.58505
-10.771729,-53.832245,67.23419
-16.838097,-49.636364,77.57927
0.24923325,-59.703255,66.348724
-7.917088,-50.285812,65.858765
-15.798752,-54.40334,66.28933
-9.681952,-64.15806,66.07497
-6.6883173,-58.594257,69.92395
-5.4605846,-46.102448,65.35892
-5.276924,-38.15818,68.05431
-7.0377107,-44.60793,67.65929
-7.22158,-42.71037,67.03312
-8.110119,-61.21647,69.58461
-10.613141,-50.270508,65.0094
-5.210093,-43.25422,63.25899
-9.285305,-70.19231,67.52688
-7.927197,-37.81115,69.19505
-3.533184,-53.571774,68.530945
-10.438048,-64.565544,70.68896
-6.18348,-44.732605,63.387028
-6.810075,-55.32255,67.2908
-8.462288,-54.304573,65.00444
-14.448044,-46.86854,64.08865
-9.327018,-59.478237,68.58332
-8.072238,-49.07012,65.00752
-0.69325036,-48.820175,64.90846
-11.716245,-54.88192,68.63349
-3.4009128,-54.13445,63.810966
-6.6722813,-51.838955,67.882256
-16.593542,-55.875713,70.27948
-17.779705,-50.422127,68.87236
-2.2944405,-45.01465,62.01068
-6.2950864,-44.21546,65.77094
-4.356708,-46.301563,65.5567
-7.353473,-43.991295,63.66525
-17.80937,-46.620575,69.23383
-5.070241,-46.624817,67.74148
-5.8554153,-38.68329,69.12832
